Date,Open,High,Low,Close,Adj Close,Volume
2018-05-24,1.920000,1.940000,1.880000,1.890000,1.890000,2211500
2018-05-25,1.880000,1.880000,1.840000,1.850000,1.850000,4004800
2018-05-29,1.860000,1.880000,1.820000,1.840000,1.840000,1920900
2018-05-30,1.840000,1.860000,1.790000,1.840000,1.840000,3068100
2018-05-31,1.850000,1.850000,1.750000,1.800000,1.800000,5212900
2018-06-01,1.820000,1.830000,1.780000,1.800000,1.800000,7510400
2018-06-04,1.800000,1.810000,1.620000,1.630000,1.630000,9265200
2018-06-05,1.630000,1.670000,1.630000,1.650000,1.650000,5640800
2018-06-06,1.660000,1.680000,1.610000,1.610000,1.610000,5793800
2018-06-07,1.630000,1.680000,1.590000,1.640000,1.640000,6956700
2018-06-08,1.660000,1.670000,1.610000,1.610000,1.610000,2725600
2018-06-11,1.610000,1.640000,1.560000,1.580000,1.580000,5581300
2018-06-12,1.590000,1.620000,1.540000,1.550000,1.550000,5205800
2018-06-13,1.560000,1.570000,1.480000,1.480000,1.480000,13335400
2018-06-14,1.510000,1.620000,1.510000,1.540000,1.540000,17677400
2018-06-15,1.590000,1.600000,1.540000,1.570000,1.570000,13822900
2018-06-18,1.570000,1.600000,1.540000,1.570000,1.570000,11698500
2018-06-19,1.590000,1.590000,1.550000,1.550000,1.550000,9432000
2018-06-20,1.580000,1.590000,1.510000,1.570000,1.570000,4635400
2018-06-21,1.570000,1.620000,1.540000,1.590000,1.590000,5217600
2018-06-22,1.610000,1.680000,1.600000,1.630000,1.630000,6158900
2018-06-25,1.620000,1.630000,1.570000,1.600000,1.600000,3563700
2018-06-26,1.610000,1.660000,1.580000,1.640000,1.640000,5362900
2018-06-27,1.660000,1.670000,1.590000,1.590000,1.590000,2803300
2018-06-28,1.600000,1.650000,1.570000,1.620000,1.620000,2964900
2018-06-29,1.640000,1.650000,1.610000,1.620000,1.620000,2622900
2018-07-02,1.610000,1.620000,1.580000,1.610000,1.610000,1818800
2018-07-03,1.630000,1.650000,1.620000,1.630000,1.630000,1239200
2018-07-05,1.640000,1.700000,1.600000,1.620000,1.620000,11169900
2018-07-06,1.630000,1.660000,1.610000,1.640000,1.640000,2490200
2018-07-09,1.670000,1.670000,1.570000,1.570000,1.570000,5661900
2018-07-10,1.590000,1.620000,1.450000,1.520000,1.520000,55062600
2018-07-11,1.530000,1.550000,1.450000,1.490000,1.490000,7248400
2018-07-12,1.500000,1.510000,1.450000,1.450000,1.450000,4684100
2018-07-13,1.460000,1.490000,1.450000,1.450000,1.450000,3144700
2018-07-16,1.480000,1.480000,1.430000,1.430000,1.430000,3856500
2018-07-17,1.450000,1.450000,1.430000,1.440000,1.440000,2994500
2018-07-18,1.490000,1.510000,1.420000,1.470000,1.470000,6000700
2018-07-19,1.450000,1.500000,1.430000,1.470000,1.470000,4102900
2018-07-20,1.480000,1.480000,1.380000,1.420000,1.420000,4599700
2018-07-23,1.410000,1.480000,1.390000,1.460000,1.460000,5619900
2018-07-24,1.460000,1.480000,1.440000,1.470000,1.470000,2926600
2018-07-25,1.450000,1.490000,1.430000,1.480000,1.480000,4478900
2018-07-26,1.490000,1.560000,1.460000,1.550000,1.550000,5909900
2018-07-27,1.540000,1.560000,1.510000,1.520000,1.520000,3145100
2018-07-30,1.520000,1.590000,1.500000,1.580000,1.580000,4310400
2018-07-31,1.580000,1.620000,1.540000,1.590000,1.590000,6478000
2018-08-01,1.600000,1.650000,1.540000,1.630000,1.630000,5946900
2018-08-02,1.450000,1.770000,1.430000,1.720000,1.720000,15998200
2018-08-03,1.710000,1.810000,1.670000,1.790000,1.790000,8241400
2018-08-06,1.790000,1.810000,1.740000,1.800000,1.800000,8127300
2018-08-07,1.800000,1.890000,1.780000,1.780000,1.780000,7100000
2018-08-08,1.790000,1.820000,1.700000,1.780000,1.780000,5460500
2018-08-09,1.780000,1.880000,1.780000,1.800000,1.800000,9139100
2018-08-10,1.780000,1.870000,1.780000,1.800000,1.800000,9748900
2018-08-13,1.800000,1.830000,1.630000,1.690000,1.690000,9576200
2018-08-14,1.710000,1.780000,1.660000,1.720000,1.720000,6248800
2018-08-15,1.730000,1.860000,1.660000,1.850000,1.850000,7511500
2018-08-16,1.860000,2.070000,1.840000,2.050000,2.050000,14236300
2018-08-17,2.090000,2.110000,2.000000,2.040000,2.040000,8635800
2018-08-20,2.060000,2.110000,1.930000,2.050000,2.050000,6417600
2018-08-21,2.070000,2.100000,1.960000,2.040000,2.040000,8323100
2018-08-22,2.020000,2.070000,1.950000,2.020000,2.020000,4786500
2018-08-23,2.010000,2.050000,1.980000,2.010000,2.010000,2698600
2018-08-24,2.000000,2.040000,1.990000,2.030000,2.030000,1697600
2018-08-27,2.030000,2.190000,2.030000,2.090000,2.090000,10502900
2018-08-28,2.120000,2.150000,2.030000,2.090000,2.090000,4794100
2018-08-29,2.080000,2.110000,2.040000,2.080000,2.080000,3737100
2018-08-30,2.050000,2.060000,1.920000,2.020000,2.020000,10481100
2018-08-31,1.950000,2.010000,1.920000,2.000000,2.000000,3767800
2018-09-04,1.990000,1.990000,1.850000,1.920000,1.920000,7524800
2018-09-05,1.920000,2.080000,1.890000,2.010000,2.010000,5319700
2018-09-06,2.010000,2.070000,1.960000,1.990000,1.990000,3440500
2018-09-07,1.990000,1.990000,1.920000,1.970000,1.970000,2340100
2018-09-10,1.970000,2.020000,1.910000,1.940000,1.940000,2717100
2018-09-11,1.950000,1.980000,1.870000,1.970000,1.970000,3390100
2018-09-12,1.950000,2.020000,1.900000,2.000000,2.000000,3634500
2018-09-13,2.010000,2.030000,1.960000,1.970000,1.970000,2612800
2018-09-14,1.980000,2.040000,1.980000,2.020000,2.020000,2332600
2018-09-17,2.010000,2.150000,2.000000,2.080000,2.080000,5179900
2018-09-18,2.200000,2.380000,2.120000,2.290000,2.290000,17403100
2018-09-19,2.330000,2.380000,2.270000,2.320000,2.320000,7048100
2018-09-20,2.340000,2.430000,2.320000,2.400000,2.400000,7422000
2018-09-21,2.500000,2.520000,2.420000,2.440000,2.440000,10203800
2018-09-24,2.510000,2.540000,2.250000,2.330000,2.330000,9440300
2018-09-25,2.330000,2.330000,2.090000,2.110000,2.110000,10245200
2018-09-26,2.150000,2.200000,2.100000,2.200000,2.200000,3710500
2018-09-27,2.220000,2.260000,2.150000,2.200000,2.200000,3560500
2018-09-28,2.190000,2.230000,2.120000,2.200000,2.200000,5241200
2018-10-01,2.210000,2.260000,2.130000,2.150000,2.150000,4101400
2018-10-02,2.160000,2.200000,2.120000,2.130000,2.130000,3933300
2018-10-03,2.150000,2.150000,2.040000,2.070000,2.070000,6391700
2018-10-04,2.050000,2.100000,2.010000,2.050000,2.050000,4238700
2018-10-05,2.070000,2.070000,1.900000,1.930000,1.930000,6487900
2018-10-08,1.910000,1.980000,1.900000,1.960000,1.960000,3934500
2018-10-09,1.980000,2.060000,1.920000,2.010000,2.010000,3502400
2018-10-10,2.020000,2.040000,1.910000,1.920000,1.920000,3054100
2018-10-11,1.900000,1.930000,1.840000,1.840000,1.840000,3478500
2018-10-12,1.860000,1.890000,1.840000,1.870000,1.870000,3320000
2018-10-15,1.890000,1.910000,1.830000,1.850000,1.850000,2825800
2018-10-16,1.870000,1.950000,1.850000,1.940000,1.940000,3040200
2018-10-17,1.930000,2.090000,1.920000,2.020000,2.020000,3484600
2018-10-18,2.020000,2.040000,1.900000,1.950000,1.950000,3368700
2018-10-19,1.970000,2.080000,1.960000,1.990000,1.990000,2867600
2018-10-22,2.000000,2.030000,1.980000,2.020000,2.020000,2294400
2018-10-23,2.010000,2.010000,1.880000,1.990000,1.990000,3610500
2018-10-24,1.970000,2.000000,1.930000,1.940000,1.940000,3776200
2018-10-25,1.940000,1.960000,1.840000,1.900000,1.900000,3722600
2018-10-26,1.870000,1.930000,1.820000,1.880000,1.880000,2504400
2018-10-29,1.900000,1.950000,1.820000,1.850000,1.850000,2082100
2018-10-30,1.860000,1.950000,1.840000,1.940000,1.940000,3999100
2018-10-31,1.960000,2.010000,1.920000,1.960000,1.960000,3731500
2018-11-01,1.820000,1.940000,1.760000,1.880000,1.880000,5946000
2018-11-02,1.880000,1.940000,1.850000,1.920000,1.920000,2639900
2018-11-05,1.910000,2.020000,1.910000,1.980000,1.980000,3826700
2018-11-06,2.000000,2.010000,1.950000,2.010000,2.010000,3760600
2018-11-07,2.010000,2.100000,1.990000,2.040000,2.040000,5168700
2018-11-08,2.050000,2.090000,1.950000,1.970000,1.970000,2583800
2018-11-09,1.970000,2.060000,1.960000,2.010000,2.010000,2838000
2018-11-12,2.000000,2.040000,1.980000,2.010000,2.010000,2880900
2018-11-13,1.960000,2.050000,1.950000,2.000000,2.000000,3669600
2018-11-14,2.000000,2.100000,2.000000,2.030000,2.030000,3113100
2018-11-15,2.030000,2.190000,2.000000,2.160000,2.160000,7513300
2018-11-16,2.160000,2.220000,2.120000,2.130000,2.130000,3740200
2018-11-19,2.140000,2.160000,2.060000,2.080000,2.080000,2527300
2018-11-20,2.060000,2.100000,1.950000,1.990000,1.990000,3694500
2018-11-21,2.000000,2.060000,1.980000,1.990000,1.990000,2999000
2018-11-23,1.990000,2.010000,1.950000,1.990000,1.990000,967500
2018-11-26,2.010000,2.010000,1.930000,1.960000,1.960000,2324200
2018-11-27,1.940000,2.000000,1.940000,1.970000,1.970000,1878900
2018-11-28,1.970000,2.080000,1.950000,2.060000,2.060000,4207600
2018-11-29,2.040000,2.240000,2.040000,2.180000,2.180000,8964800
2018-11-30,2.170000,2.210000,2.080000,2.120000,2.120000,3898000
2018-12-03,2.140000,2.170000,2.100000,2.150000,2.150000,1614500
2018-12-04,2.140000,2.140000,2.040000,2.060000,2.060000,2043000
2018-12-06,2.030000,2.070000,1.970000,1.980000,1.980000,3344800
2018-12-07,2.010000,2.050000,1.980000,1.990000,1.990000,4381800
2018-12-10,1.990000,1.990000,1.880000,1.910000,1.910000,4365900
2018-12-11,1.940000,1.990000,1.830000,1.880000,1.880000,4974300
2018-12-12,1.910000,1.940000,1.840000,1.880000,1.880000,4026700
2018-12-13,1.900000,1.920000,1.800000,1.840000,1.840000,2725500
2018-12-14,1.820000,1.890000,1.740000,1.770000,1.770000,3522000
2018-12-17,1.750000,1.790000,1.680000,1.690000,1.690000,3594100
2018-12-18,1.710000,1.740000,1.670000,1.680000,1.680000,2948200
2018-12-19,1.690000,1.780000,1.660000,1.680000,1.680000,3926400
2018-12-20,1.660000,1.740000,1.570000,1.600000,1.600000,4320000
2018-12-21,1.590000,1.620000,1.430000,1.500000,1.500000,18067300
2018-12-24,1.500000,1.500000,1.420000,1.430000,1.430000,2095900
2018-12-26,1.450000,1.510000,1.300000,1.500000,1.500000,4669400
2018-12-27,1.490000,1.490000,1.420000,1.490000,1.490000,3092400
2018-12-28,1.490000,1.550000,1.450000,1.490000,1.490000,4024700
2018-12-31,1.490000,1.530000,1.410000,1.520000,1.520000,3879900
2019-01-02,1.480000,1.590000,1.460000,1.570000,1.570000,3965500
2019-01-03,1.550000,1.620000,1.520000,1.570000,1.570000,2230000
2019-01-04,1.590000,1.720000,1.590000,1.690000,1.690000,4809500
2019-01-07,1.690000,1.850000,1.680000,1.830000,1.830000,4765000
2019-01-08,1.870000,1.910000,1.770000,1.840000,1.840000,6322300
2019-01-09,1.860000,1.890000,1.770000,1.780000,1.780000,4977000
2019-01-10,1.810000,1.860000,1.740000,1.820000,1.820000,3438900
2019-01-11,1.820000,1.830000,1.760000,1.790000,1.790000,3404400
2019-01-14,1.780000,1.900000,1.760000,1.870000,1.870000,3963200
2019-01-15,1.870000,1.930000,1.830000,1.880000,1.880000,2349400
2019-01-16,1.920000,1.920000,1.870000,1.900000,1.900000,1545700
2019-01-17,1.910000,2.010000,1.880000,1.980000,1.980000,5395900
