Date,Open,High,Low,Close,Adj Close,Volume
2018-05-24,358.450012,360.660004,354.369995,359.000000,351.794220,3932100
2018-05-25,358.119995,360.600006,357.049988,360.089996,352.862335,2463700
2018-05-29,357.709991,360.970001,350.660004,352.480011,345.405090,4249600
2018-05-30,355.649994,358.920013,354.100006,358.190002,351.000458,2825200
2018-05-31,356.829987,356.829987,351.619995,352.160004,345.091492,4406300
2018-06-01,355.790009,358.149994,354.459991,356.720001,349.559967,2657800
2018-06-04,358.970001,363.390015,358.850006,360.730011,353.489471,2950300
2018-06-05,360.500000,363.369995,358.850006,360.100006,352.872101,2567800
2018-06-06,362.459991,371.600006,360.989990,371.559998,364.102081,4488400
2018-06-07,372.000000,374.480011,366.049988,368.529999,361.132935,4517800
2018-06-08,368.140015,371.420013,365.459991,369.500000,362.083435,3292900
2018-06-11,371.000000,373.329987,368.799988,370.940002,363.494537,2468500
2018-06-12,371.239990,372.730011,367.989990,370.619995,363.180969,2440400
2018-06-13,370.670013,371.000000,363.290009,363.850006,356.546844,3867600
2018-06-14,366.149994,367.640015,358.829987,362.420013,355.145569,4039500
2018-06-15,358.149994,361.660004,353.470001,357.880005,350.696686,9946000
2018-06-18,353.190002,357.649994,352.369995,354.739990,347.619690,3363200
2018-06-19,347.170013,347.170013,338.570007,341.119995,334.273102,6857300
2018-06-20,346.000000,346.980011,340.459991,342.690002,335.811584,4540000
2018-06-21,341.149994,341.149994,336.200012,337.660004,330.882538,4048300
2018-06-22,340.429993,340.940002,336.600006,338.910004,332.107452,3192000
2018-06-25,332.519989,333.850006,327.600006,331.200012,324.552216,5006200
2018-06-26,332.390015,334.399994,330.480011,331.299988,324.650177,3112400
2018-06-27,334.850006,341.420013,329.760010,329.820007,323.199921,4578900
2018-06-28,330.000000,337.540009,327.290009,334.649994,327.932922,3348000
2018-06-29,337.190002,340.000000,335.359985,335.510010,328.775726,3108500
2018-07-02,330.690002,336.329987,329.320007,336.079987,329.334229,2820700
2018-07-03,338.179993,339.690002,332.000000,332.929993,326.247467,1464400
2018-07-05,336.149994,337.279999,329.100006,333.179993,326.492462,2427900
2018-07-06,332.839996,336.100006,330.450012,334.640015,327.923187,2105100
2018-07-09,337.500000,343.040009,336.510010,341.920013,335.057037,3128700
2018-07-10,342.779999,348.000000,342.779999,347.160004,340.191833,3278300
2018-07-11,341.730011,344.390015,339.190002,340.600006,333.763519,3056900
2018-07-12,345.279999,346.600006,342.739990,346.029999,339.084534,2030700
2018-07-13,347.000000,351.239990,346.200012,350.790009,343.748993,2272300
2018-07-16,353.970001,356.339996,352.350006,356.100006,348.952454,2889000
2018-07-17,357.609985,359.000000,355.040009,356.880005,349.716736,2730500
2018-07-18,359.000000,361.859985,354.260010,360.230011,352.999512,3090100
2018-07-19,357.690002,359.390015,355.260010,355.329987,348.197876,2711700
2018-07-20,353.040009,356.989990,353.000000,354.899994,347.776459,1816700
2018-07-23,355.000000,355.000000,352.390015,353.269989,346.179199,1943700
2018-07-24,356.750000,359.470001,354.640015,358.269989,351.078857,3182000
2018-07-25,351.519989,356.299988,345.500000,355.920013,348.776062,7378100
2018-07-26,355.380005,360.200012,355.269989,359.320007,352.107819,3191200
2018-07-27,361.059998,364.540009,359.470001,360.649994,353.411072,2914700
2018-07-30,361.989990,362.450012,350.470001,351.059998,344.013611,3080400
2018-07-31,354.380005,359.019989,354.059998,356.299988,349.148346,2728400
2018-08-01,354.089996,357.910004,350.500000,352.760010,345.679474,2717800
2018-08-02,348.619995,350.730011,346.029999,349.730011,342.710297,2655900
2018-08-03,349.500000,350.989990,345.670013,348.440002,341.446136,2285200
2018-08-06,347.369995,347.369995,343.119995,346.570007,339.613708,3251100
2018-08-07,348.049988,352.119995,345.500000,350.760010,343.719604,2267400
2018-08-08,350.500000,351.619995,346.250000,347.779999,340.799408,2333600
2018-08-09,346.070007,346.839996,343.119995,343.720001,338.485199,2301800
2018-08-10,341.000000,341.000000,336.450012,339.410004,334.240814,2745700
2018-08-13,339.600006,342.149994,337.339996,338.359985,333.206848,1877200
2018-08-14,339.119995,340.149994,337.619995,339.140015,333.974976,2017300
2018-08-15,336.570007,337.140015,328.029999,331.760010,326.707397,3798600
2018-08-16,339.059998,347.720001,338.299988,345.980011,340.710785,5867900
2018-08-17,346.000000,348.500000,341.670013,346.399994,341.124390,3069200
2018-08-20,348.600006,352.609985,347.100006,350.739990,345.398285,3018200
2018-08-21,351.000000,354.450012,349.630005,353.769989,348.382111,2967200
2018-08-22,354.320007,355.869995,349.839996,350.029999,344.699127,2682900
2018-08-23,349.149994,350.279999,345.459991,347.480011,342.187958,1833400
2018-08-24,348.769989,350.630005,348.100006,349.380005,344.059021,1954100
2018-08-27,352.109985,355.000000,351.010010,353.739990,348.352570,2279500
2018-08-28,355.000000,355.679993,350.609985,351.209991,345.861115,2475100
2018-08-29,352.260010,352.350006,349.209991,350.190002,344.856689,1850100
