Date,Open,High,Low,Close,Adj Close,Volume
2018-05-24,288.769989,291.130005,287.250000,289.059998,289.059998,118100
2018-05-25,288.679993,289.029999,285.000000,287.929993,287.929993,126100
2018-05-29,284.799988,287.890015,282.970001,286.059998,286.059998,84700
2018-05-30,288.290009,293.149994,287.709991,290.890015,290.890015,256700
2018-05-31,288.600006,292.390015,285.760010,287.130005,287.130005,111600
2018-06-01,289.260010,292.750000,287.269989,290.640015,290.640015,152500
2018-06-04,290.970001,293.309998,289.609985,292.880005,292.880005,176100
2018-06-05,293.029999,294.799988,289.100006,291.220001,291.220001,173600
2018-06-06,290.640015,297.589996,290.640015,297.470001,297.470001,171200
2018-06-07,299.369995,299.369995,293.970001,297.000000,297.000000,196800
2018-06-08,297.429993,300.429993,295.079987,299.589996,299.589996,109900
2018-06-11,299.920013,301.579987,297.559998,301.000000,301.000000,65400
2018-06-12,300.309998,304.359985,300.040009,300.790009,300.790009,84000
2018-06-13,301.230011,304.320007,300.220001,301.059998,301.059998,194600
2018-06-14,300.320007,303.869995,300.010010,303.700012,303.700012,83400
2018-06-15,302.359985,304.309998,299.640015,303.880005,303.880005,190400
2018-06-18,301.910004,303.019989,299.540009,301.459991,301.459991,178600
2018-06-19,300.309998,302.570007,296.750000,299.869995,299.869995,120400
2018-06-20,298.500000,302.380005,294.000000,296.760010,296.760010,132200
2018-06-21,298.839996,302.820007,297.670013,299.839996,299.839996,157100
2018-06-22,301.339996,301.339996,297.410004,298.320007,298.320007,129500
2018-06-25,299.399994,300.769989,285.829987,289.619995,289.619995,153200
2018-06-26,289.500000,292.809998,289.239990,290.410004,290.410004,120400
2018-06-27,289.910004,294.299988,284.299988,284.459991,284.459991,106600
2018-06-28,284.510010,288.329987,282.660004,288.260010,288.260010,131400
2018-06-29,289.339996,291.890015,287.019989,288.540009,288.540009,111900
2018-07-02,287.260010,290.899994,285.829987,289.279999,289.279999,148200
2018-07-03,291.059998,294.700012,289.200012,292.899994,292.899994,60900
2018-07-05,294.230011,297.660004,290.649994,294.940002,294.940002,275300
2018-07-06,295.390015,300.279999,295.170013,297.920013,297.920013,83700
2018-07-09,299.589996,304.820007,296.049988,303.070007,303.070007,102100
2018-07-10,303.980011,305.000000,300.290009,302.950012,302.950012,99900
2018-07-11,301.600006,301.769989,297.850006,299.470001,299.470001,127900
2018-07-12,301.880005,303.890015,299.279999,302.269989,302.269989,86300
2018-07-13,302.390015,306.390015,301.660004,303.950012,303.950012,102600
2018-07-16,304.929993,306.179993,298.690002,300.519989,300.519989,67800
2018-07-17,299.630005,303.179993,298.880005,302.619995,302.619995,75200
2018-07-18,302.290009,304.230011,300.350006,303.500000,303.500000,75000
2018-07-19,303.149994,307.630005,303.149994,306.390015,306.390015,101200
2018-07-20,306.839996,307.480011,305.000000,305.440002,305.440002,48200
2018-07-23,305.869995,309.619995,302.260010,308.119995,308.119995,122900
2018-07-24,309.619995,311.200012,305.140015,307.989990,307.989990,143600
2018-07-25,308.500000,311.790009,307.799988,311.790009,311.790009,83800
2018-07-26,312.040009,313.829987,309.149994,313.609985,313.609985,95500
2018-07-27,314.230011,314.230011,302.859985,307.440002,307.440002,117300
2018-07-30,307.320007,307.709991,301.609985,304.140015,304.140015,86600
2018-07-31,305.040009,309.000000,304.429993,306.649994,306.649994,110900
2018-08-01,308.820007,314.329987,308.309998,311.730011,311.730011,121200
2018-08-02,309.829987,314.119995,309.059998,311.720001,311.720001,186500
2018-08-03,309.829987,313.890015,308.100006,312.179993,312.179993,83100
2018-08-06,313.000000,316.760010,313.000000,315.450012,315.450012,156400
2018-08-07,316.000000,317.279999,307.339996,308.970001,308.970001,239100
2018-08-08,345.149994,345.149994,314.429993,316.399994,316.399994,307700
2018-08-09,316.790009,321.410004,316.079987,318.109985,318.109985,96700
2018-08-10,315.980011,321.480011,315.980011,319.799988,319.799988,155800
2018-08-13,320.160004,324.670013,318.910004,322.929993,322.929993,151800
2018-08-14,323.519989,328.950012,321.640015,325.029999,325.029999,124700
2018-08-15,323.339996,324.600006,316.119995,320.119995,320.119995,134400
2018-08-16,320.600006,323.000000,316.779999,317.880005,317.880005,90900
2018-08-17,317.850006,319.230011,314.000000,316.559998,316.559998,144500
2018-08-20,316.720001,318.940002,311.450012,315.329987,315.329987,101600
2018-08-21,315.200012,321.290009,315.200012,318.619995,318.619995,98900
2018-08-22,317.470001,321.549988,315.890015,321.320007,321.320007,83700
2018-08-23,320.920013,321.709991,316.369995,317.049988,317.049988,159400
2018-08-24,316.730011,319.929993,316.730011,318.760010,318.760010,79300
2018-08-27,319.959991,325.649994,319.959991,324.760010,324.760010,106000
2018-08-28,325.589996,326.000000,321.630005,324.660004,324.660004,146600
2018-08-29,324.670013,325.399994,322.790009,324.579987,324.579987,71300
2018-08-30,324.109985,328.589996,323.709991,325.779999,325.779999,99500
2018-08-31,325.549988,326.350006,321.730011,325.299988,325.299988,66700
2018-09-04,324.760010,326.600006,323.339996,326.149994,326.149994,88600
2018-09-05,325.010010,325.329987,314.489990,315.500000,315.500000,121000
2018-09-06,314.549988,320.450012,313.410004,316.769989,316.769989,155300
2018-09-07,315.559998,317.179993,313.019989,313.739990,313.739990,96300
2018-09-10,314.519989,314.929993,307.850006,308.000000,308.000000,163900
2018-09-11,306.570007,311.700012,305.459991,308.369995,308.369995,156800
2018-09-12,307.130005,308.420013,303.649994,305.730011,305.730011,176500
2018-09-13,306.489990,309.369995,303.709991,307.549988,307.549988,136400
2018-09-14,307.010010,311.010010,305.829987,309.109985,309.109985,197700
2018-09-17,308.640015,308.640015,295.420013,295.959991,295.959991,220000
2018-09-18,296.450012,299.049988,294.100006,298.549988,298.549988,216900
2018-09-19,298.920013,299.160004,296.440002,298.470001,298.470001,98300
2018-09-20,299.369995,302.380005,297.070007,301.029999,301.029999,160900
2018-09-21,301.459991,301.459991,295.679993,298.489990,298.489990,340900
2018-09-24,309.899994,311.609985,303.410004,308.970001,308.970001,213000
2018-09-25,309.880005,312.369995,307.790009,310.410004,310.410004,177500
2018-09-26,310.880005,314.980011,307.519989,308.149994,308.149994,136300
2018-09-27,313.709991,315.339996,310.250000,312.339996,312.339996,163900
2018-09-28,311.660004,313.940002,311.660004,312.989990,312.989990,156400
2018-10-01,315.000000,315.000000,307.970001,309.000000,309.000000,129100
2018-10-02,308.450012,308.500000,303.549988,304.350006,304.350006,207800
2018-10-03,305.720001,309.700012,305.299988,306.190002,306.190002,106800
2018-10-04,306.000000,306.929993,299.029999,300.609985,300.609985,117400
2018-10-05,301.220001,303.529999,295.040009,298.290009,298.290009,125100
2018-10-08,297.859985,298.910004,288.899994,291.429993,291.429993,155300
2018-10-09,289.809998,294.880005,288.980011,289.820007,289.820007,173000
2018-10-10,289.910004,290.339996,281.820007,281.820007,281.820007,207400
