Date,Open,High,Low,Close,Adj Close,Volume
2018-05-24,3.250000,3.270000,3.020000,3.130000,3.130000,209800
2018-05-25,3.140000,3.610000,3.100000,3.450000,3.450000,706300
2018-05-29,3.430000,3.600000,3.370000,3.390000,3.390000,238500
2018-05-30,3.430000,3.480000,3.270000,3.290000,3.290000,153200
2018-05-31,3.290000,3.470000,3.220000,3.450000,3.450000,167700
2018-06-01,3.480000,3.490000,3.390000,3.410000,3.410000,66100
2018-06-04,3.400000,3.410000,3.270000,3.340000,3.340000,76100
2018-06-05,3.350000,3.570000,3.340000,3.530000,3.530000,100700
2018-06-06,3.530000,3.570000,3.430000,3.440000,3.440000,52500
2018-06-07,3.450000,3.480000,3.300000,3.310000,3.310000,79700
2018-06-08,3.310000,3.360000,3.250000,3.310000,3.310000,78100
2018-06-11,3.310000,3.380000,3.250000,3.310000,3.310000,67700
2018-06-12,3.300000,3.410000,3.280000,3.390000,3.390000,66500
2018-06-13,3.440000,3.440000,3.260000,3.290000,3.290000,117500
2018-06-14,3.300000,3.350000,3.120000,3.120000,3.120000,138300
2018-06-15,3.120000,3.210000,2.910000,2.960000,2.960000,227200
2018-06-18,2.960000,3.070000,2.790000,2.920000,2.920000,228200
2018-06-19,2.920000,3.120000,2.920000,3.080000,3.080000,137600
2018-06-20,3.080000,3.130000,3.020000,3.120000,3.120000,97200
2018-06-21,3.330000,3.450000,3.030000,3.240000,3.240000,163100
2018-06-22,3.250000,3.330000,3.110000,3.240000,3.240000,285600
2018-06-25,3.260000,3.260000,3.000000,3.030000,3.030000,73300
2018-06-26,3.050000,3.090000,2.960000,3.030000,3.030000,42900
2018-06-27,3.050000,3.090000,2.970000,3.020000,3.020000,69700
2018-06-28,3.000000,3.000000,2.850000,2.930000,2.930000,104300
2018-06-29,2.940000,3.040000,2.930000,2.980000,2.980000,97200
2018-07-02,3.080000,3.380000,3.000000,3.060000,3.060000,168200
2018-07-03,3.070000,3.120000,2.970000,3.040000,3.040000,26900
2018-07-05,3.040000,3.100000,2.970000,3.070000,3.070000,24200
2018-07-06,3.090000,3.280000,3.080000,3.130000,3.130000,64000
2018-07-09,3.100000,3.140000,3.010000,3.010000,3.010000,55000
2018-07-10,3.020000,3.060000,2.990000,3.050000,3.050000,39200
2018-07-11,3.050000,3.130000,2.980000,2.990000,2.990000,30100
2018-07-12,3.010000,3.090000,2.960000,3.000000,3.000000,28500
2018-07-13,3.000000,3.080000,2.990000,3.020000,3.020000,44400
2018-07-16,3.040000,3.040000,2.850000,2.910000,2.910000,88700
2018-07-17,2.900000,2.950000,2.780000,2.800000,2.800000,120400
2018-07-18,2.810000,2.810000,2.680000,2.690000,2.690000,161800
2018-07-19,2.640000,2.780000,2.550000,2.680000,2.680000,166300
2018-07-20,2.680000,2.740000,2.580000,2.600000,2.600000,156700
2018-07-23,2.650000,2.680000,2.520000,2.530000,2.530000,150400
2018-07-24,2.630000,2.660000,2.450000,2.470000,2.470000,232600
2018-07-25,2.430000,2.510000,2.430000,2.480000,2.480000,145200
2018-07-26,2.490000,2.490000,2.370000,2.460000,2.460000,157700
2018-07-27,2.450000,2.480000,2.300000,2.330000,2.330000,142500
2018-07-30,2.310000,2.330000,2.180000,2.190000,2.190000,199000
2018-07-31,2.210000,2.320000,2.210000,2.230000,2.230000,128700
2018-08-01,2.250000,2.340000,2.220000,2.250000,2.250000,115700
2018-08-02,2.250000,2.310000,2.050000,2.150000,2.150000,153900
2018-08-03,2.150000,2.170000,1.880000,1.890000,1.890000,327400
2018-08-06,1.810000,1.920000,1.700000,1.720000,1.720000,393800
2018-08-07,1.700000,2.110000,1.410000,2.040000,2.040000,851000
2018-08-08,2.110000,2.780000,2.000000,2.330000,2.330000,841900
2018-08-09,2.310000,2.310000,2.100000,2.130000,2.130000,220300
2018-08-10,2.250000,2.400000,2.080000,2.090000,2.090000,154600
2018-08-13,2.130000,2.210000,2.050000,2.120000,2.120000,108900
2018-08-14,2.140000,2.180000,2.000000,2.010000,2.010000,151500
2018-08-15,2.010000,2.080000,2.000000,2.020000,2.020000,190900
2018-08-16,2.020000,2.060000,2.000000,2.030000,2.030000,161800
2018-08-17,2.010000,2.020000,1.910000,1.910000,1.910000,89000
2018-08-20,1.910000,1.970000,1.850000,1.910000,1.910000,145200
2018-08-21,1.910000,2.130000,1.910000,2.080000,2.080000,111400
2018-08-22,2.050000,2.070000,2.000000,2.020000,2.020000,93700
2018-08-23,2.020000,2.050000,1.900000,1.910000,1.910000,208500
2018-08-24,1.900000,1.980000,1.870000,1.920000,1.920000,180600
2018-08-27,1.930000,1.960000,1.880000,1.890000,1.890000,153100
2018-08-28,1.880000,1.930000,1.850000,1.880000,1.880000,148900
2018-08-29,1.880000,1.990000,1.870000,1.970000,1.970000,114800
2018-08-30,1.980000,2.020000,1.920000,1.940000,1.940000,280000
2018-08-31,1.920000,1.980000,1.900000,1.970000,1.970000,231500
2018-09-04,1.970000,1.970000,1.870000,1.890000,1.890000,126800
2018-09-05,1.900000,1.900000,1.800000,1.830000,1.830000,111400
2018-09-06,1.850000,1.880000,1.760000,1.770000,1.770000,131700
2018-09-07,1.760000,1.820000,1.590000,1.620000,1.620000,285500
2018-09-10,1.640000,1.650000,1.590000,1.600000,1.600000,113800
2018-09-11,1.600000,1.610000,1.430000,1.540000,1.540000,367000
2018-09-12,1.590000,1.600000,1.510000,1.590000,1.590000,195100
2018-09-13,1.600000,1.610000,1.490000,1.510000,1.510000,244000
2018-09-14,1.510000,1.620000,1.480000,1.570000,1.570000,378100
2018-09-17,1.600000,1.640000,1.520000,1.600000,1.600000,401400
2018-09-18,1.590000,1.690000,1.550000,1.660000,1.660000,335500
2018-09-19,1.670000,1.700000,1.660000,1.660000,1.660000,115600
2018-09-20,1.670000,1.690000,1.570000,1.600000,1.600000,213100
2018-09-21,1.590000,1.650000,1.520000,1.580000,1.580000,462300
2018-09-24,1.600000,1.650000,1.450000,1.480000,1.480000,469700
2018-09-25,1.500000,1.500000,1.420000,1.460000,1.460000,250600
2018-09-26,1.450000,1.480000,1.430000,1.440000,1.440000,124700
2018-09-27,1.450000,1.460000,1.370000,1.460000,1.460000,327600
2018-09-28,1.460000,1.650000,1.430000,1.600000,1.600000,353200
2018-10-01,1.600000,1.610000,1.490000,1.530000,1.530000,376600
2018-10-02,1.520000,1.540000,1.360000,1.390000,1.390000,281100
2018-10-03,1.380000,1.500000,1.380000,1.490000,1.490000,339600
2018-10-04,1.500000,1.520000,1.380000,1.400000,1.400000,184500
2018-10-05,1.410000,1.410000,1.330000,1.340000,1.340000,330000
2018-10-08,1.350000,1.380000,1.310000,1.360000,1.360000,92300
2018-10-09,1.350000,1.410000,1.350000,1.370000,1.370000,125800
2018-10-10,1.370000,1.440000,1.280000,1.280000,1.280000,222800
2018-10-11,1.280000,1.370000,1.260000,1.330000,1.330000,359700
2018-10-12,1.370000,1.390000,1.300000,1.300000,1.300000,135500
2018-10-15,1.290000,1.320000,1.250000,1.290000,1.290000,173700
2018-10-16,1.290000,1.330000,1.270000,1.290000,1.290000,150400
2018-10-17,1.280000,1.280000,1.150000,1.150000,1.150000,291500
2018-10-18,1.150000,1.190000,0.970000,1.010000,1.010000,694700
2018-10-19,1.010000,1.060000,0.950000,0.970000,0.970000,679900
2018-10-22,0.960000,0.960000,0.870000,0.910000,0.910000,444400
2018-10-23,0.910000,0.950000,0.880000,0.910000,0.910000,256700
2018-10-24,0.930000,1.040000,0.920000,0.990000,0.990000,478600
2018-10-25,0.980000,1.050000,0.930000,1.030000,1.030000,299600
2018-10-26,1.010000,1.120000,1.010000,1.050000,1.050000,169800
2018-10-29,1.060000,1.060000,0.980000,1.020000,1.020000,243600
2018-10-30,1.020000,1.040000,0.890000,0.940000,0.940000,295700
2018-10-31,0.960000,0.980000,0.830000,0.830000,0.830000,418700
2018-11-01,0.860000,1.030000,0.850000,1.030000,1.030000,604400
2018-11-02,1.020000,1.160000,1.000000,1.120000,1.120000,468000
2018-11-05,1.140000,1.150000,1.020000,1.040000,1.040000,247200
2018-11-06,1.040000,1.050000,1.000000,1.010000,1.010000,155200
2018-11-07,1.010000,1.090000,1.010000,1.090000,1.090000,171200
2018-11-08,1.080000,1.120000,1.040000,1.090000,1.090000,123200
2018-11-09,1.140000,1.140000,1.040000,1.100000,1.100000,194600
2018-11-12,1.110000,1.140000,1.040000,1.040000,1.040000,240200
2018-11-13,1.100000,1.260000,1.080000,1.110000,1.110000,405200
2018-11-14,1.130000,1.160000,1.020000,1.020000,1.020000,141600
2018-11-15,1.020000,1.230000,1.010000,1.210000,1.210000,225900
2018-11-16,1.210000,1.280000,1.120000,1.230000,1.230000,209700
2018-11-19,1.310000,1.750000,1.300000,1.310000,1.310000,1952000
2018-11-20,1.200000,1.440000,1.170000,1.410000,1.410000,483900
2018-11-21,1.400000,1.410000,1.310000,1.350000,1.350000,300700
2018-11-23,1.330000,1.390000,1.260000,1.330000,1.330000,170300
2018-11-26,1.330000,1.340000,1.180000,1.200000,1.200000,331000
2018-11-27,1.180000,1.180000,1.080000,1.090000,1.090000,270000
2018-11-28,1.090000,1.300000,1.090000,1.300000,1.300000,324700
2018-11-29,1.310000,1.340000,1.210000,1.240000,1.240000,443200
2018-11-30,1.220000,1.290000,1.220000,1.220000,1.220000,137500
2018-12-03,1.240000,1.310000,1.230000,1.290000,1.290000,109800
2018-12-04,1.300000,1.350000,1.240000,1.240000,1.240000,119600
2018-12-06,1.230000,1.300000,1.200000,1.210000,1.210000,101800
2018-12-07,1.200000,1.200000,1.130000,1.140000,1.140000,120400
2018-12-10,1.150000,1.150000,1.080000,1.080000,1.080000,177100
2018-12-11,1.110000,1.150000,1.030000,1.050000,1.050000,224600
2018-12-12,1.070000,1.150000,1.040000,1.090000,1.090000,137300
2018-12-13,1.100000,1.120000,1.010000,1.020000,1.020000,204300
2018-12-14,1.020000,1.090000,1.020000,1.050000,1.050000,143300
2018-12-17,1.030000,1.080000,1.000000,1.010000,1.010000,309200
2018-12-18,1.010000,1.060000,0.960000,1.040000,1.040000,493300
2018-12-19,1.020000,1.030000,0.870000,0.920000,0.920000,995900
2018-12-20,0.940000,0.950000,0.690000,0.740000,0.740000,1201300
2018-12-21,0.750000,0.750000,0.490000,0.570000,0.570000,4297700
2018-12-24,0.650000,0.800000,0.580000,0.700000,0.700000,789200
2018-12-26,0.710000,0.850000,0.680000,0.740000,0.740000,521000
2018-12-27,0.790000,0.820000,0.740000,0.790000,0.790000,230600
2018-12-28,0.800000,0.920000,0.800000,0.890000,0.890000,329700
2018-12-31,0.920000,0.920000,0.850000,0.860000,0.860000,339900
2019-01-02,0.920000,1.140000,0.860000,1.090000,1.090000,452400
2019-01-03,1.060000,1.060000,0.910000,0.940000,0.940000,204600
2019-01-04,0.950000,1.170000,0.950000,1.110000,1.110000,411900
2019-01-07,1.120000,1.130000,1.010000,1.020000,1.020000,187100
2019-01-08,1.030000,1.110000,1.020000,1.050000,1.050000,119800
2019-01-09,1.070000,1.220000,1.050000,1.210000,1.210000,353800
2019-01-10,1.210000,1.210000,1.050000,1.160000,1.160000,202400
2019-01-11,1.160000,1.190000,1.140000,1.180000,1.180000,152900
2019-01-14,1.160000,1.180000,1.060000,1.110000,1.110000,116100
2019-01-15,1.110000,1.300000,1.070000,1.280000,1.280000,263800
2019-01-16,1.250000,1.300000,1.130000,1.230000,1.230000,198100
2019-01-17,1.210000,1.290000,1.210000,1.250000,1.250000,142200
2019-01-18,1.240000,1.260000,1.130000,1.150000,1.150000,251100
2019-01-22,1.150000,1.160000,1.000000,1.040000,1.040000,219500
2019-01-23,1.040000,1.110000,1.040000,1.060000,1.060000,44800
2019-01-24,1.060000,1.080000,1.030000,1.060000,1.060000,95500
2019-01-25,1.070000,1.100000,1.030000,1.060000,1.060000,132600
2019-01-28,1.040000,1.590000,1.030000,1.380000,1.380000,1017700
2019-01-29,1.400000,1.500000,1.230000,1.440000,1.440000,827400
2019-01-30,1.430000,1.680000,1.360000,1.480000,1.480000,712300
2019-01-31,2.270000,2.340000,1.930000,2.070000,2.070000,9566800
2019-02-01,2.030000,2.530000,1.960000,2.470000,2.470000,2196700
2019-02-04,2.500000,2.590000,2.130000,2.230000,2.230000,1123400
2019-02-05,2.200000,2.410000,2.150000,2.270000,2.270000,620800
2019-02-06,2.250000,2.300000,2.120000,2.120000,2.120000,522500
2019-02-07,2.070000,2.200000,1.990000,2.090000,2.090000,813400
2019-02-08,2.090000,2.240000,2.040000,2.130000,2.130000,481200
2019-02-11,2.190000,2.230000,2.070000,2.110000,2.110000,418100
2019-02-12,2.100000,2.150000,2.050000,2.110000,2.110000,367500
2019-02-13,2.100000,2.250000,2.060000,2.180000,2.180000,599100
2019-02-14,2.180000,2.270000,2.120000,2.170000,2.170000,578300
2019-02-15,2.170000,2.240000,2.140000,2.180000,2.180000,655400
2019-02-19,2.180000,2.220000,2.110000,2.150000,2.150000,454300
2019-02-20,2.150000,2.200000,2.070000,2.130000,2.130000,259100
2019-02-21,2.130000,2.160000,2.010000,2.140000,2.140000,287200
2019-02-22,2.140000,2.160000,2.100000,2.150000,2.150000,365400
2019-02-25,2.160000,2.210000,2.100000,2.190000,2.190000,281300
2019-02-26,2.170000,2.210000,2.000000,2.180000,2.180000,315500
2019-02-27,2.190000,2.200000,2.110000,2.150000,2.150000,184500
2019-02-28,2.140000,2.170000,1.990000,2.090000,2.090000,530400
2019-03-01,2.120000,2.120000,2.000000,2.040000,2.040000,418400
2019-03-04,2.070000,2.100000,1.780000,2.040000,2.040000,830800
2019-03-05,2.020000,2.030000,1.850000,1.910000,1.910000,243300
2019-03-06,1.890000,1.900000,1.690000,1.720000,1.720000,416900
2019-03-07,1.740000,2.030000,1.710000,1.830000,1.830000,420300
2019-03-08,1.810000,1.860000,1.720000,1.750000,1.750000,184800
2019-03-11,1.760000,1.870000,1.700000,1.820000,1.820000,120200
2019-03-12,1.830000,2.100000,1.780000,2.040000,2.040000,547100
2019-03-13,2.010000,2.090000,1.870000,1.880000,1.880000,340200
2019-03-14,1.900000,2.000000,1.810000,1.960000,1.960000,303400
2019-03-15,1.960000,2.140000,1.910000,1.990000,1.990000,845100
2019-03-18,2.000000,2.060000,1.960000,1.990000,1.990000,267400
2019-03-19,2.000000,2.020000,1.920000,1.990000,1.990000,345400
2019-03-20,1.990000,2.190000,1.950000,2.150000,2.150000,804600
2019-03-21,2.150000,2.150000,1.910000,1.980000,1.980000,593900
2019-03-22,1.950000,1.970000,1.840000,1.860000,1.860000,281600
2019-03-25,1.840000,1.860000,1.690000,1.810000,1.810000,569400
2019-03-26,1.810000,1.900000,1.770000,1.800000,1.800000,128300
2019-03-27,1.820000,1.880000,1.760000,1.880000,1.880000,301200
2019-03-28,1.900000,1.900000,1.730000,1.810000,1.810000,190800
2019-03-29,1.850000,1.850000,1.760000,1.780000,1.780000,161300
2019-04-01,1.810000,1.830000,1.690000,1.730000,1.730000,192000
2019-04-02,1.740000,1.820000,1.740000,1.810000,1.810000,88300
2019-04-03,1.820000,1.840000,1.740000,1.780000,1.780000,134400
2019-04-04,1.800000,1.850000,1.750000,1.750000,1.750000,111000
2019-04-05,1.760000,1.940000,1.760000,1.910000,1.910000,336000
2019-04-08,1.910000,1.910000,1.690000,1.730000,1.730000,325700
2019-04-09,1.770000,1.780000,1.670000,1.680000,1.680000,207600
2019-04-10,1.690000,1.700000,1.580000,1.620000,1.620000,272000
2019-04-11,1.620000,1.700000,1.530000,1.660000,1.660000,184100
2019-04-12,1.670000,1.700000,1.560000,1.620000,1.620000,211100
2019-04-15,1.620000,1.640000,1.520000,1.550000,1.550000,201700
2019-04-16,1.540000,1.580000,1.410000,1.430000,1.430000,426100
2019-04-17,1.470000,1.560000,1.330000,1.460000,1.460000,1825300
2019-04-18,2.260000,2.490000,1.590000,1.620000,1.620000,19231000
2019-04-22,1.550000,1.950000,1.520000,1.880000,1.880000,3387100
2019-04-23,1.870000,1.890000,1.720000,1.770000,1.770000,1381600
2019-04-24,1.800000,1.890000,1.690000,1.830000,1.830000,830700
2019-04-25,1.830000,1.860000,1.720000,1.730000,1.730000,446100
2019-04-26,1.760000,1.770000,1.630000,1.670000,1.670000,546700
2019-04-29,1.660000,1.700000,1.570000,1.580000,1.580000,388900
2019-04-30,1.600000,1.650000,1.360000,1.590000,1.590000,831800
2019-05-01,1.590000,1.660000,1.530000,1.570000,1.570000,266100
2019-05-02,1.580000,1.620000,1.480000,1.600000,1.600000,774100
2019-05-03,1.600000,1.740000,1.520000,1.720000,1.720000,651800
2019-05-06,1.670000,1.850000,1.630000,1.840000,1.840000,568300
2019-05-07,1.810000,1.840000,1.650000,1.690000,1.690000,631200
2019-05-08,1.690000,1.780000,1.660000,1.680000,1.680000,199100
2019-05-09,1.660000,1.700000,1.520000,1.610000,1.610000,356400
2019-05-10,1.670000,1.800000,1.580000,1.780000,1.780000,497300
2019-05-13,1.700000,1.730000,1.600000,1.600000,1.600000,666900
2019-05-14,1.640000,1.750000,1.630000,1.690000,1.690000,354900
2019-05-15,1.650000,1.830000,1.610000,1.780000,1.780000,775100
2019-05-16,1.770000,1.950000,1.730000,1.930000,1.930000,464100
2019-05-17,1.920000,2.040000,1.880000,1.900000,1.900000,685900
2019-05-20,1.890000,1.970000,1.780000,1.910000,1.910000,298900
2019-05-21,1.930000,2.030000,1.880000,1.940000,1.940000,354800
2019-05-22,1.920000,1.970000,1.800000,1.940000,1.940000,341000
2019-05-23,1.900000,1.910000,1.740000,1.770000,1.770000,349600
