Date,Open,High,Low,Close,Adj Close,Volume
2018-05-24,38.410000,38.919998,38.090000,38.500000,38.101276,2301600
2018-05-25,38.439999,38.820000,38.310001,38.520000,38.121071,2496100
2018-05-29,38.150002,38.500000,37.930000,38.250000,37.853867,2745000
2018-05-30,38.509998,38.689999,38.090000,38.250000,37.853867,2064600
2018-05-31,38.340000,38.840000,37.910000,38.169998,37.774696,2044000
2018-06-01,38.259998,38.470001,38.020000,38.270000,37.873661,2544300
2018-06-04,38.299999,38.669998,38.299999,38.439999,38.041897,2627800
2018-06-05,38.529999,38.840000,38.389999,38.740002,38.338795,2277900
2018-06-06,38.740002,38.950001,38.599998,38.849998,38.447651,3811100
2018-06-07,38.799999,39.240002,38.639999,39.230000,38.823719,2622900
2018-06-08,39.090000,39.779999,39.090000,39.549999,39.140404,1865300
2018-06-11,39.470001,40.740002,39.380001,39.919998,39.506569,3622600
2018-06-12,40.080002,40.740002,40.000000,40.389999,39.971703,3999400
2018-06-13,43.520000,43.700001,43.080002,43.410000,42.960426,11241000
2018-06-14,44.049999,44.490002,43.830002,44.419998,43.959965,6044300
2018-06-15,44.619999,44.830002,44.180000,44.560001,44.098518,5754200
2018-06-18,44.430000,44.680000,44.150002,44.369999,43.910484,4685200
2018-06-19,43.919998,44.799999,43.820000,44.290001,43.831314,3701800
2018-06-20,47.349998,48.020000,46.930000,47.500000,47.008072,34370100
2018-06-21,48.110001,48.860001,47.750000,48.040001,47.542477,11376900
2018-06-22,48.310001,48.759998,48.189999,48.349998,47.849266,7423200
2018-06-25,48.250000,48.330002,47.570000,47.889999,47.394032,5228700
2018-06-26,47.880001,48.259998,47.220001,47.419998,46.928894,5742800
2018-06-27,48.090000,48.580002,47.549999,48.299999,47.799782,16409500
2018-06-28,48.500000,49.369999,48.500000,49.330002,48.819118,5817000
2018-06-29,49.220001,49.650002,49.090000,49.270000,48.759743,4479900
2018-07-02,49.029999,49.330002,48.389999,48.669998,48.165955,5626600
2018-07-03,49.049999,49.049999,47.869999,48.029999,47.532581,2839200
2018-07-05,48.450001,48.509998,47.799999,48.169998,47.671127,4693800
2018-07-06,48.160000,48.599998,48.049999,48.430000,47.928436,5647600
2018-07-09,48.560001,49.139999,48.000000,49.080002,48.571709,3926000
2018-07-10,49.160000,49.509998,49.060001,49.340000,48.829014,2730300
2018-07-11,48.880001,48.880001,46.889999,47.400002,46.909107,7261300
2018-07-12,47.439999,47.660000,46.849998,47.040001,46.552837,4815600
2018-07-13,46.820000,47.250000,46.639999,47.189999,46.701283,3610700
2018-07-16,47.279999,47.279999,45.980000,46.410000,45.929359,6315900
2018-07-17,46.060001,46.520000,46.060001,46.189999,45.711636,2869600
2018-07-18,46.189999,46.459999,46.060001,46.320000,45.840290,2490600
2018-07-19,45.650002,46.330002,45.439999,46.200001,45.721535,7608100
2018-07-20,45.930000,46.029999,45.459999,45.689999,45.216816,4487800
2018-07-23,45.560001,45.730000,45.410000,45.540001,45.068371,2855300
2018-07-24,45.500000,45.680000,44.849998,44.910000,44.444893,3458200
2018-07-25,44.900002,45.009998,44.290001,44.869999,44.405304,4011300
2018-07-26,45.110001,45.320000,44.900002,45.090000,44.623032,4753600
2018-07-27,45.009998,45.099998,44.610001,44.709999,44.246964,9269600
2018-07-30,44.639999,44.970001,44.490002,44.529999,44.068825,7504400
2018-07-31,44.619999,44.820000,44.340000,44.419998,43.959965,6004800
2018-08-01,44.230000,44.709999,44.189999,44.529999,44.068825,3798800
2018-08-02,44.400002,44.759998,44.380001,44.660000,44.197483,3092400
2018-08-03,44.630001,45.099998,44.509998,44.919998,44.454788,4918100
2018-08-06,44.849998,45.580002,44.709999,45.270000,44.801167,2693400
2018-08-07,45.270000,45.509998,45.040001,45.060001,44.593342,3238100
2018-08-08,44.849998,45.110001,44.610001,44.959999,44.494377,4047200
2018-08-09,44.930000,45.250000,44.580002,45.060001,44.593342,2969400
2018-08-10,44.900002,45.070000,44.689999,44.919998,44.454788,2786600
2018-08-13,45.020000,45.049999,44.570000,44.709999,44.246964,3401300
2018-08-14,44.860001,45.230000,44.770000,44.970001,44.504272,3641900
2018-08-15,44.680000,44.939999,44.570000,44.799999,44.336033,4270100
2018-08-16,44.900002,45.230000,44.779999,45.119999,44.652718,4486600
2018-08-17,45.119999,45.119999,44.689999,44.830002,44.365723,4069400
2018-08-20,44.830002,44.970001,44.720001,44.790001,44.326138,2686200
2018-08-21,44.779999,45.049999,44.740002,44.840000,44.375618,4382700
2018-08-22,44.750000,44.950001,44.680000,44.750000,44.286552,4231600
2018-08-23,44.720001,44.970001,44.590000,44.660000,44.197483,3002800
2018-08-24,44.709999,44.779999,44.520000,44.580002,44.118313,4312400
2018-08-27,44.650002,44.770000,44.549999,44.610001,44.147999,2943200
2018-08-28,44.660000,44.790001,44.540001,44.599998,44.138103,7508200
2018-08-29,44.639999,45.080002,44.549999,45.009998,44.543858,3758400
2018-08-30,44.880001,45.029999,44.549999,44.730000,44.266758,5611500
2018-08-31,44.610001,44.939999,44.580002,44.900002,44.435001,2947200
2018-09-04,44.799999,44.939999,44.680000,44.869999,44.405304,3911200
2018-09-05,44.730000,44.959999,44.639999,44.720001,44.256863,4820600
2018-09-06,44.709999,45.000000,44.590000,44.880001,44.415207,3886100
2018-09-07,44.799999,44.930000,44.700001,44.740002,44.276653,2352000
2018-09-10,44.820000,44.919998,44.380001,44.450001,43.989658,3928400
2018-09-11,44.189999,44.439999,44.099998,44.310001,44.029404,3152600
2018-09-12,44.279999,44.430000,44.119999,44.209999,43.930035,2516100
2018-09-13,44.410000,44.439999,44.240002,44.380001,44.098961,3132700
2018-09-14,44.480000,44.540001,44.320000,44.419998,44.138706,2995700
2018-09-17,44.439999,44.529999,44.220001,44.340000,44.059216,2865500
2018-09-18,44.330002,44.500000,44.139999,44.160000,43.880352,3506700
2018-09-19,44.119999,44.380001,44.110001,44.259998,43.979717,3040500
2018-09-20,44.360001,44.459999,44.169998,44.200001,43.920101,4185700
2018-09-21,44.369999,44.369999,43.810001,43.889999,43.612064,14400100
2018-09-24,44.040001,44.680000,44.040001,44.650002,44.367252,3759700
2018-09-25,44.610001,45.009998,44.590000,44.810001,44.526237,6209900
2018-09-26,44.900002,45.660000,44.660000,45.259998,44.973385,5809500
2018-09-27,45.360001,45.770000,45.139999,45.490002,45.201931,4509300
2018-09-28,45.500000,46.000000,45.209999,45.820000,45.529842,3758900
2018-10-01,45.820000,45.950001,45.480000,45.840000,45.549713,3674500
2018-10-02,45.730000,46.299999,45.730000,46.180000,45.887562,3227000
2018-10-03,46.220001,46.549999,46.139999,46.509998,46.215469,3142000
