Date,Open,High,Low,Close,Adj Close,Volume
2018-05-24,62.290001,63.580002,62.220001,63.509998,61.334866,3923100
2018-05-25,63.599998,65.570000,63.400002,65.230003,62.995956,4611800
2018-05-29,64.760002,65.419998,64.129997,64.580002,62.368217,3727700
2018-05-30,64.760002,66.269997,64.440002,65.970001,63.710617,3085800
2018-05-31,65.599998,65.599998,63.709999,64.389999,62.697941,2934600
2018-06-01,64.500000,64.599998,63.590000,63.830002,62.152657,2395900
2018-06-04,64.120003,64.930000,64.019997,64.620003,62.921902,2131900
2018-06-05,64.699997,64.879997,62.980000,63.270000,61.607372,3241800
2018-06-06,63.270000,63.270000,62.180000,62.910000,61.256832,6795800
2018-06-07,61.650002,63.200001,61.290001,62.259998,60.623913,5245600
2018-06-08,62.570000,63.900002,62.570000,63.709999,62.035809,2720300
2018-06-11,63.880001,65.769997,63.880001,65.449997,63.730083,2605300
2018-06-12,66.309998,66.309998,65.029999,65.709999,63.983250,2045200
2018-06-13,65.910004,66.290001,65.260002,65.769997,64.041672,1666900
2018-06-14,65.919998,66.779999,65.510002,66.599998,64.849869,2390600
2018-06-15,66.680000,67.139999,66.139999,67.059998,65.297775,3788700
2018-06-18,66.849998,67.309998,65.870003,66.260002,64.518799,1848700
2018-06-19,65.809998,67.040001,65.800003,66.589996,64.840126,1454000
2018-06-20,66.680000,66.809998,65.500000,66.690002,64.937500,1433700
2018-06-21,66.800003,67.190002,66.370003,66.839996,65.083557,1679400
2018-06-22,67.150002,67.709999,66.779999,67.400002,65.628845,2029300
2018-06-25,67.820000,69.239998,67.809998,69.050003,67.235489,4278300
2018-06-26,68.800003,68.980003,68.419998,68.699997,66.894676,3560400
2018-06-27,68.550003,70.279999,67.790001,69.180000,67.362068,6122900
2018-06-28,69.150002,70.169998,68.639999,69.669998,67.839195,3052900
2018-06-29,69.739998,70.300003,68.739998,69.870003,68.033936,2226200
2018-07-02,69.589996,70.059998,69.150002,69.610001,67.780769,2061700
2018-07-03,69.690002,69.750000,69.169998,69.339996,67.517860,1202500
2018-07-05,69.730003,71.550003,69.540001,71.540001,69.660049,3337200
2018-07-06,71.589996,72.239998,71.059998,71.830002,69.942429,2041600
2018-07-09,71.830002,71.949997,70.220001,70.470001,68.618164,2509100
2018-07-10,70.669998,70.900002,70.059998,70.639999,68.783707,2314500
2018-07-11,70.730003,70.750000,70.099998,70.330002,68.481850,1328300
2018-07-12,70.660004,70.930000,70.269997,70.680000,68.822655,1504900
2018-07-13,70.470001,71.309998,70.220001,71.169998,69.299782,1978400
2018-07-16,71.099998,71.099998,70.440002,70.589996,68.735008,1157900
2018-07-17,70.419998,71.000000,70.330002,70.650002,68.793442,1335600
2018-07-18,70.709999,70.800003,68.699997,68.959999,67.147842,2391300
2018-07-19,68.910004,69.959999,68.879997,69.599998,67.771034,1669600
2018-07-20,70.080002,70.370003,69.400002,70.199997,68.355263,1330200
2018-07-23,70.050003,70.349998,69.440002,69.860001,68.024200,1508100
2018-07-24,69.639999,70.220001,69.209999,70.180000,68.335793,1413300
2018-07-25,70.199997,70.900002,70.180000,70.849998,68.988182,2754700
2018-07-26,71.349998,72.260002,70.769997,70.879997,69.017395,2514300
2018-07-27,71.129997,71.639999,70.779999,71.400002,69.523727,1533600
2018-07-30,70.750000,71.690002,70.599998,71.330002,69.455574,1738200
2018-07-31,71.500000,71.779999,70.589996,71.029999,69.163445,2371500
2018-08-01,71.129997,71.150002,69.160004,69.430000,67.605499,3177400
2018-08-02,68.699997,70.040001,66.790001,69.879997,68.043671,3908600
2018-08-03,70.199997,73.239998,70.019997,72.150002,70.254028,3626800
2018-08-06,72.300003,72.660004,71.580002,72.199997,70.302704,2064200
2018-08-07,72.050003,72.080002,71.370003,71.900002,70.010597,1711400
2018-08-08,72.150002,72.239998,71.000000,71.010002,69.143974,1382900
2018-08-09,71.459999,71.459999,70.900002,71.300003,69.426361,1421600
2018-08-10,71.080002,71.809998,70.830002,71.379997,69.504250,1125600
2018-08-13,71.480003,71.540001,70.589996,71.010002,69.143974,1535700
2018-08-14,71.139999,72.150002,71.139999,71.510002,69.630836,1575300
2018-08-15,71.410004,72.180000,71.239998,72.099998,70.205338,1425400
2018-08-16,72.099998,73.309998,71.989998,72.699997,70.789574,2069700
2018-08-17,72.680000,73.879997,72.680000,73.629997,71.695129,1992900
2018-08-20,73.779999,74.320000,73.589996,73.720001,71.782776,1577900
2018-08-21,73.879997,74.019997,71.989998,72.220001,70.322189,1909200
2018-08-22,72.290001,72.669998,71.529999,72.139999,70.244286,1245900
2018-08-23,71.709999,72.120003,71.339996,72.110001,70.215073,1115000
2018-08-24,72.120003,72.949997,72.080002,72.449997,70.546143,947400
2018-08-27,72.650002,72.889999,71.809998,72.019997,70.127434,1219600
2018-08-28,71.660004,72.029999,70.989998,71.470001,69.591888,1143700
2018-08-29,71.870003,71.919998,71.440002,71.809998,69.922951,1333800
2018-08-30,71.519997,72.160004,71.480003,71.750000,69.864532,1144200
2018-08-31,71.279999,72.089996,71.260002,71.790001,70.453362,1401100
2018-09-04,71.809998,72.300003,71.620003,71.910004,70.571129,1057000
2018-09-05,71.570000,72.760002,71.320000,72.699997,71.346420,1539400
2018-09-06,72.470001,73.720001,72.459999,73.650002,72.278732,1485800
2018-09-07,73.339996,74.440002,73.150002,74.089996,72.710533,1925700
2018-09-10,74.139999,74.580002,73.779999,74.019997,72.641838,1827900
2018-09-11,73.889999,73.989998,73.160004,73.459999,72.092262,995900
2018-09-12,73.790001,74.510002,73.550003,74.449997,73.063835,1132900
2018-09-13,74.559998,74.839996,73.919998,74.800003,73.407326,1563900
2018-09-14,74.620003,74.910004,74.120003,74.839996,73.446571,865800
2018-09-17,74.690002,74.980003,74.320000,74.699997,73.309174,1158200
2018-09-18,73.739998,73.949997,72.449997,73.360001,71.994125,2451400
2018-09-19,73.459999,73.849998,72.209999,72.400002,71.052002,1468900
2018-09-20,72.620003,72.930000,72.110001,72.800003,71.444565,1775900
2018-09-21,72.940002,73.430000,72.519997,73.169998,71.807671,2818500
2018-09-24,72.589996,73.430000,72.239998,72.339996,70.993118,1197200
2018-09-25,72.459999,72.589996,71.820000,72.099998,70.757591,999400
2018-09-26,72.250000,72.839996,71.870003,71.910004,70.571129,1306000
2018-09-27,71.269997,71.540001,69.500000,70.010002,68.706497,2174800
2018-09-28,70.150002,70.760002,69.910004,70.019997,68.716316,2091800
2018-10-01,70.070000,70.370003,69.690002,69.889999,68.588730,1484600
2018-10-02,70.120003,71.190002,70.019997,70.419998,69.108864,1461000
2018-10-03,70.830002,71.169998,68.500000,68.669998,67.391449,2774400
2018-10-04,67.949997,69.290001,66.739998,69.139999,67.852699,2204700
2018-10-05,69.000000,69.699997,69.000000,69.379997,68.088226,1278600
2018-10-08,69.559998,70.550003,69.559998,70.260002,68.951851,1853100
2018-10-09,70.180000,70.330002,68.839996,68.989998,67.705498,1489000
2018-10-10,69.199997,70.400002,68.720001,68.730003,67.450333,2524000
2018-10-11,68.910004,69.349998,67.519997,67.620003,66.361008,3101700
2018-10-12,67.919998,68.230003,67.489998,67.949997,66.684860,1648600
2018-10-15,68.010002,69.250000,68.010002,68.669998,67.391449,1697900
2018-10-16,68.989998,70.269997,68.680000,69.849998,68.549477,1703900
2018-10-17,69.580002,70.209999,69.070000,69.650002,68.353203,1369400
2018-10-18,69.820000,70.519997,69.220001,69.559998,68.264885,1759400
2018-10-19,70.000000,71.360001,70.000000,71.169998,69.844910,2648700
2018-10-22,71.529999,71.949997,70.379997,70.589996,69.275696,1729600
2018-10-23,70.309998,71.519997,69.699997,71.180000,69.854721,2507400
2018-10-24,71.349998,72.980003,71.330002,71.449997,70.119690,3225500
2018-10-25,71.279999,71.349998,70.269997,70.550003,69.236450,2315200
2018-10-26,70.360001,70.760002,68.730003,69.160004,67.872330,1688100
2018-10-29,69.440002,71.150002,69.440002,70.290001,68.981293,1553000
2018-10-30,70.879997,72.019997,70.440002,71.860001,70.522057,2010200
2018-10-31,65.669998,67.459999,64.949997,65.480003,64.260849,7930700
2018-11-01,65.110001,65.110001,63.520000,64.000000,62.808399,6415800
2018-11-02,63.770000,64.230003,62.549999,63.000000,61.827023,4802800
2018-11-05,63.349998,64.129997,62.919998,63.150002,61.974228,3723700
2018-11-06,63.290001,64.419998,62.820000,64.389999,63.191139,5683800
2018-11-07,64.750000,64.900002,63.230000,64.269997,63.073372,2417200
2018-11-08,64.019997,65.230003,64.000000,65.180000,63.966434,3821800
2018-11-09,65.089996,65.660004,64.459999,65.010002,63.799595,2305600
2018-11-12,64.940002,65.489998,64.110001,64.300003,63.102818,2247800
2018-11-13,64.389999,64.620003,62.599998,63.419998,62.239197,3491600
2018-11-14,62.320000,62.970001,61.799999,62.459999,61.297073,4010400
2018-11-15,62.090000,62.540001,61.349998,62.520000,61.355957,2572000
2018-11-16,62.509998,62.750000,61.509998,61.730000,60.580666,3385700
2018-11-19,61.700001,62.279999,60.880001,61.689999,60.541409,4337900
2018-11-20,62.299999,62.889999,61.549999,61.709999,60.561035,4210200
2018-11-21,61.709999,63.250000,61.580002,61.889999,60.737686,3976900
2018-11-23,61.650002,61.880001,61.160000,61.740002,60.590481,959400
2018-11-26,61.680000,61.959999,61.200001,61.500000,60.354950,3338900
2018-11-27,61.540001,62.480000,61.099998,62.250000,61.090984,3075200
2018-11-28,61.639999,62.660000,61.360001,62.599998,61.434467,2357800
2018-11-29,62.570000,63.650002,62.529999,63.250000,62.072365,2687500
2018-11-30,62.709999,63.689999,62.680000,63.650002,63.022907,3138300
2018-12-03,63.610001,63.610001,62.650002,63.119999,62.498127,2937800
2018-12-04,63.439999,63.919998,61.540001,61.740002,61.131725,2761200
2018-12-06,61.750000,62.000000,60.480000,61.270000,60.666355,3679300
2018-12-07,61.250000,61.250000,60.200001,60.840000,60.240589,2710600
2018-12-10,60.950001,61.169998,59.509998,60.299999,59.705910,3343300
2018-12-11,60.529999,61.560001,60.490002,60.869999,60.270294,1843700
2018-12-12,61.250000,61.419998,60.709999,61.000000,60.399014,2721400
2018-12-13,61.169998,61.360001,60.660000,61.049999,60.448521,1839600
2018-12-14,60.820000,61.189999,60.049999,60.360001,59.765320,2755900
2018-12-17,60.200001,60.549999,58.750000,59.230000,58.646450,2377800
2018-12-18,59.160000,59.770000,58.480000,58.849998,58.270195,2700800
2018-12-19,59.660000,60.480000,58.480000,58.689999,58.111771,3415000
2018-12-20,58.480000,58.619999,56.490002,57.320000,56.755268,3289500
2018-12-21,57.770000,58.950001,57.189999,57.639999,57.072117,5327100
2018-12-24,57.480000,57.490002,55.639999,55.820000,55.270050,1104700
2018-12-26,56.049999,57.180000,55.110001,57.150002,56.586948,2113800
2018-12-27,56.980000,57.139999,55.560001,57.139999,56.577042,2483100
2018-12-28,57.320000,58.029999,56.880001,57.250000,56.685959,1685600
2018-12-31,57.189999,57.450001,56.549999,57.009998,56.448322,2093000
2019-01-02,56.779999,57.099998,56.110001,56.639999,56.081970,2245900
2019-01-03,56.549999,57.099998,56.279999,56.740002,56.180984,1689300
2019-01-04,56.820000,57.610001,56.669998,57.299999,56.735466,1897000
2019-01-07,57.080002,57.759998,56.759998,57.570000,57.002808,1930100
2019-01-08,57.549999,58.000000,57.230000,57.889999,57.319653,2168100
2019-01-09,57.820000,58.529999,57.700001,57.950001,57.379063,2497600
2019-01-10,58.000000,58.459999,57.669998,58.290001,57.715714,2080700
2019-01-11,58.500000,58.650002,57.930000,58.580002,58.002857,1432700
2019-01-14,58.380001,58.750000,58.049999,58.540001,57.963253,2450900
2019-01-15,58.630001,59.419998,58.619999,59.310001,58.725666,1437900
2019-01-16,59.160000,59.400002,58.889999,59.119999,58.537537,1936400
2019-01-17,58.939999,59.520000,58.630001,59.279999,58.695957,1365400
2019-01-18,59.540001,59.950001,59.250000,59.430000,58.844482,2403700
2019-01-22,59.360001,59.599998,58.139999,58.700001,58.121674,2260800
2019-01-23,58.709999,59.250000,58.599998,59.130001,58.547440,3072100
2019-01-24,58.259998,58.270000,57.439999,57.660000,57.091919,2732800
2019-01-25,57.799999,58.279999,57.660000,57.779999,57.210735,1728500
2019-01-28,57.750000,58.139999,57.279999,58.119999,57.547386,1679400
2019-01-29,57.980000,58.360001,57.860001,58.230000,57.656303,1758700
2019-01-30,58.119999,58.689999,57.759998,57.830002,57.260246,3763200
2019-01-31,57.849998,59.060001,57.830002,59.009998,58.428619,3060500
2019-02-01,59.209999,59.410000,58.099998,58.700001,58.121674,2316400
2019-02-04,58.820000,59.110001,58.430000,58.919998,58.339504,2226700
2019-02-05,58.820000,59.310001,58.750000,59.139999,58.557339,2339100
2019-02-06,59.139999,59.490002,58.689999,59.160000,58.577141,2682200
2019-02-07,56.560001,57.869999,55.520000,55.840000,55.289852,8770600
2019-02-08,55.320000,55.900002,54.820000,55.360001,54.814583,5316900
2019-02-11,55.700001,55.950001,54.139999,55.669998,55.121525,5795600
2019-02-12,55.599998,56.700001,55.599998,56.529999,55.973053,3692400
2019-02-13,56.700001,57.009998,56.230000,56.959999,56.398815,3230800
2019-02-14,56.730000,57.459999,56.450001,56.580002,56.022564,3394200
2019-02-15,57.029999,57.070000,55.720001,56.790001,56.230492,7318200
2019-02-19,56.750000,58.119999,56.709999,57.419998,56.854282,4286100
2019-02-20,57.380001,58.810001,57.200001,58.450001,57.874138,3076300
2019-02-21,58.439999,58.520000,57.700001,58.330002,57.755322,2215000
2019-02-22,56.610001,56.959999,55.750000,56.730000,56.171082,5550800
2019-02-25,56.959999,56.959999,55.419998,55.660000,55.111626,4175700
2019-02-26,56.139999,56.380001,55.480000,55.919998,55.369061,2834900
2019-02-27,56.000000,56.180000,55.450001,55.759998,55.210636,3010000
2019-02-28,55.869999,56.369999,55.570000,56.259998,55.705711,2909800
2019-03-01,56.410000,56.860001,56.279999,56.840000,56.279999,2424600
2019-03-04,56.389999,56.500000,54.189999,54.610001,54.610001,3490500
2019-03-05,54.580002,54.970001,54.400002,54.770000,54.770000,1749800
2019-03-06,54.799999,54.950001,54.080002,54.470001,54.470001,1974100
2019-03-07,54.430000,54.790001,54.220001,54.299999,54.299999,2032500
2019-03-08,54.529999,54.880001,54.340000,54.560001,54.560001,2224900
2019-03-11,54.320000,54.320000,53.660000,54.150002,54.150002,4191100
2019-03-12,54.369999,54.689999,54.150002,54.160000,54.160000,2419500
2019-03-13,54.160000,54.200001,53.139999,53.610001,53.610001,2991000
2019-03-14,53.799999,54.169998,53.410000,53.810001,53.810001,2458400
2019-03-15,53.959999,54.299999,53.709999,54.270000,54.270000,3496400
2019-03-18,54.270000,54.509998,54.060001,54.270000,54.270000,1568000
2019-03-19,54.169998,54.770000,54.099998,54.410000,54.410000,2475400
2019-03-20,54.560001,54.849998,54.049999,54.110001,54.110001,2832500
2019-03-21,54.259998,56.750000,54.099998,56.480000,56.480000,4174500
2019-03-22,56.340000,57.250000,56.299999,56.740002,56.740002,3192100
2019-03-25,56.790001,56.919998,56.320000,56.669998,56.669998,2026000
2019-03-26,56.709999,57.610001,56.709999,57.570000,57.570000,2135900
2019-03-27,57.470001,57.810001,56.689999,56.939999,56.939999,2436600
2019-03-28,57.160000,57.560001,56.810001,56.970001,56.970001,1079400
2019-03-29,56.889999,57.490002,56.849998,57.380001,57.380001,1573800
2019-04-01,57.500000,57.650002,55.500000,56.020000,56.020000,3181600
2019-04-02,56.220001,56.610001,55.910000,56.349998,56.349998,4093100
2019-04-03,56.209999,56.790001,55.959999,56.660000,56.660000,2496600
2019-04-04,56.709999,56.880001,56.250000,56.450001,56.450001,1479800
2019-04-05,56.320000,56.820000,56.099998,56.799999,56.799999,1704000
2019-04-08,56.740002,57.570000,56.740002,57.500000,57.500000,1909400
2019-04-09,57.369999,57.590000,56.750000,57.160000,57.160000,2285200
2019-04-10,57.240002,57.560001,56.840000,57.549999,57.549999,2873200
2019-04-11,57.770000,57.900002,56.889999,57.349998,57.349998,1841600
2019-04-12,57.360001,57.849998,57.279999,57.570000,57.570000,1710000
2019-04-15,57.689999,58.389999,57.459999,58.349998,58.349998,1597300
2019-04-16,58.299999,58.869999,58.040001,58.389999,58.389999,1941600
2019-04-17,58.540001,58.540001,57.660000,58.090000,58.090000,1228700
2019-04-18,58.250000,58.590000,57.720001,58.450001,58.450001,1208800
2019-04-22,58.500000,58.810001,58.209999,58.360001,58.360001,2120500
2019-04-23,58.270000,58.619999,58.000000,58.430000,58.430000,2102900
2019-04-24,58.400002,58.759998,58.119999,58.570000,58.570000,1762900
2019-04-25,58.320000,58.470001,57.900002,57.939999,57.939999,1654600
2019-04-26,58.189999,59.570000,58.090000,59.400002,59.400002,2120600
2019-04-29,59.459999,59.860001,59.250000,59.639999,59.639999,2057700
2019-04-30,59.720001,60.459999,59.639999,60.299999,60.299999,2798100
2019-05-01,60.270000,60.439999,59.250000,59.389999,59.389999,2836000
2019-05-02,56.939999,58.230000,56.419998,57.380001,57.380001,5931200
2019-05-03,57.410000,57.410000,56.400002,56.470001,56.470001,3026200
2019-05-06,55.799999,57.500000,55.730000,57.400002,57.400002,2764900
2019-05-07,57.340000,57.549999,56.549999,57.150002,57.150002,2249500
2019-05-08,57.180000,57.619999,56.400002,57.250000,57.250000,1986800
2019-05-09,56.880001,57.919998,56.669998,57.790001,57.790001,2009300
2019-05-10,57.669998,58.770000,57.169998,58.639999,58.639999,2394900
2019-05-13,58.160000,58.200001,56.950001,57.779999,57.779999,2888000
2019-05-14,57.669998,57.830002,57.049999,57.169998,57.169998,2340900
2019-05-15,57.099998,57.889999,56.840000,57.369999,57.369999,1508400
2019-05-16,57.490002,57.980000,57.180000,57.400002,57.400002,1350600
2019-05-17,57.060001,57.689999,56.849998,57.020000,57.020000,1596200
2019-05-20,56.639999,56.970001,56.259998,56.439999,56.439999,1648300
2019-05-21,56.779999,57.169998,56.509998,56.540001,56.540001,1098500
2019-05-22,56.590000,56.869999,56.310001,56.830002,56.830002,823800
2019-05-23,56.619999,57.160000,56.320000,57.090000,57.090000,1370800
