Date,Open,High,Low,Close,Adj Close,Volume
2018-05-24,5.850000,5.900000,5.500000,5.550000,5.550000,316300
2018-05-25,5.550000,5.700000,5.300000,5.400000,5.400000,298600
2018-05-29,5.350000,5.400000,5.100000,5.100000,5.100000,364200
2018-05-30,5.150000,5.300000,5.150000,5.200000,5.200000,202800
2018-05-31,5.150000,5.250000,5.100000,5.100000,5.100000,217500
2018-06-01,5.100000,5.250000,5.050000,5.050000,5.050000,246600
2018-06-04,5.100000,5.350000,5.100000,5.350000,5.350000,276800
2018-06-05,5.300000,5.500000,5.250000,5.450000,5.450000,246600
2018-06-06,5.350000,5.530000,5.250000,5.250000,5.250000,337300
2018-06-07,5.300000,5.500000,5.050000,5.150000,5.150000,459400
2018-06-08,5.200000,5.230000,5.100000,5.150000,5.150000,222200
2018-06-11,5.100000,5.300000,5.100000,5.200000,5.200000,248200
2018-06-12,5.250000,5.250000,5.050000,5.200000,5.200000,265800
2018-06-13,5.150000,5.200000,5.000000,5.050000,5.050000,606200
2018-06-14,5.100000,5.100000,4.950000,5.000000,5.000000,548400
2018-06-15,5.000000,5.100000,4.850000,5.100000,5.100000,504800
2018-06-18,5.000000,5.130000,4.900000,5.100000,5.100000,438000
2018-06-19,5.000000,5.000000,4.810000,4.950000,4.950000,608600
2018-06-20,5.000000,5.150000,4.900000,5.150000,5.150000,453800
2018-06-21,5.150000,5.150000,4.900000,4.950000,4.950000,274300
2018-06-22,4.950000,5.000000,4.850000,4.850000,4.850000,371700
2018-06-25,4.850000,4.850000,4.450000,4.500000,4.500000,908800
2018-06-26,4.550000,4.550000,4.020000,4.200000,4.200000,980000
2018-06-27,4.200000,4.250000,4.100000,4.200000,4.200000,222900
2018-06-28,4.150000,4.150000,4.000000,4.050000,4.050000,340600
2018-06-29,4.100000,4.100000,3.750000,3.800000,3.800000,559800
2018-07-02,3.750000,3.850000,3.650000,3.850000,3.850000,356200
2018-07-03,3.950000,4.000000,3.650000,3.700000,3.700000,301600
2018-07-05,3.700000,3.780000,3.550000,3.700000,3.700000,407500
2018-07-06,3.700000,3.840000,3.700000,3.800000,3.800000,253400
2018-07-09,3.850000,3.850000,3.740000,3.800000,3.800000,278800
2018-07-10,3.800000,4.000000,3.780000,3.900000,3.900000,403600
2018-07-11,3.900000,3.930000,3.750000,3.900000,3.900000,312200
2018-07-12,3.900000,3.950000,3.800000,3.950000,3.950000,151400
2018-07-13,3.950000,4.000000,3.850000,3.950000,3.950000,268900
2018-07-16,3.950000,3.950000,3.700000,3.750000,3.750000,359200
2018-07-17,3.700000,4.050000,3.700000,4.000000,4.000000,853300
2018-07-18,3.950000,4.000000,3.800000,3.900000,3.900000,299800
2018-07-19,3.850000,3.900000,3.760000,3.800000,3.800000,213900
2018-07-20,3.800000,3.830000,3.600000,3.700000,3.700000,502300
2018-07-23,3.650000,3.650000,3.450000,3.500000,3.500000,594500
2018-07-24,3.500000,3.550000,3.450000,3.450000,3.450000,316600
2018-07-25,3.500000,3.500000,3.200000,3.300000,3.300000,456400
2018-07-26,3.300000,4.150000,3.200000,3.450000,3.450000,2433500
2018-07-27,3.450000,3.450000,3.280000,3.350000,3.350000,415900
2018-07-30,3.350000,3.350000,3.200000,3.300000,3.300000,339000
2018-07-31,3.300000,3.330000,3.100000,3.150000,3.150000,319200
2018-08-01,3.200000,3.400000,3.150000,3.350000,3.350000,340600
2018-08-02,3.350000,3.350000,3.200000,3.350000,3.350000,122900
2018-08-03,3.350000,3.350000,3.210000,3.250000,3.250000,143800
2018-08-06,3.250000,3.380000,3.250000,3.350000,3.350000,167200
2018-08-07,3.350000,3.390000,3.300000,3.300000,3.300000,187000
2018-08-08,3.300000,3.350000,3.200000,3.250000,3.250000,162200
2018-08-09,3.300000,3.500000,3.250000,3.450000,3.450000,430500
2018-08-10,3.400000,3.400000,3.100000,3.150000,3.150000,568700
2018-08-13,3.150000,3.200000,3.100000,3.200000,3.200000,180200
2018-08-14,3.150000,3.200000,2.950000,2.950000,2.950000,808600
2018-08-15,2.950000,3.000000,2.750000,2.950000,2.950000,434300
2018-08-16,2.950000,3.100000,2.910000,2.950000,2.950000,221000
2018-08-17,2.900000,2.950000,2.850000,2.850000,2.850000,142500
2018-08-20,2.850000,3.060000,2.850000,3.050000,3.050000,316100
2018-08-21,3.050000,3.100000,2.950000,3.050000,3.050000,314900
2018-08-22,3.050000,3.100000,2.950000,3.050000,3.050000,256200
2018-08-23,3.100000,3.100000,2.950000,3.000000,3.000000,253900
2018-08-24,3.050000,3.150000,3.000000,3.100000,3.100000,189300
2018-08-27,3.050000,3.300000,3.000000,3.200000,3.200000,322200
2018-08-28,3.250000,3.450000,3.250000,3.350000,3.350000,423800
2018-08-29,3.400000,3.500000,3.350000,3.350000,3.350000,402900
2018-08-30,3.350000,3.400000,3.250000,3.250000,3.250000,152600
2018-08-31,3.200000,3.300000,3.150000,3.250000,3.250000,160800
2018-09-04,3.250000,3.350000,3.150000,3.150000,3.150000,268700
2018-09-05,3.150000,3.200000,3.100000,3.150000,3.150000,112000
2018-09-06,3.150000,3.150000,2.850000,2.900000,2.900000,353300
2018-09-07,2.900000,3.000000,2.850000,2.900000,2.900000,133100
2018-09-10,2.950000,3.050000,2.850000,3.000000,3.000000,162200
2018-09-11,2.950000,3.000000,2.900000,2.900000,2.900000,134900
