Date,Open,High,Low,Close,Adj Close,Volume
2018-05-24,30.940001,31.309999,30.680000,31.080000,30.043087,1263600
2018-05-25,30.309999,30.309999,29.059999,29.299999,28.322474,1917400
2018-05-29,28.920000,29.709999,28.850000,29.520000,28.535133,2089600
2018-05-30,29.850000,31.030001,29.780001,30.900000,29.869093,1690700
2018-05-31,30.590000,31.209999,30.330000,30.750000,29.724098,1847200
2018-06-01,30.840000,31.740000,30.730000,31.600000,30.545738,2726200
2018-06-04,31.799999,32.459999,31.410000,31.660000,30.603739,4606700
2018-06-05,31.469999,33.230000,31.170000,32.279999,31.203051,4776300
2018-06-06,32.430000,33.560001,32.360001,32.980000,31.879698,5047600
2018-06-07,33.150002,33.939999,33.150002,33.570000,32.450016,2338500
2018-06-08,33.470001,34.110001,33.040001,33.740002,32.614349,4355700
2018-06-11,33.830002,34.880001,33.669998,34.480000,33.329655,3441500
2018-06-12,34.500000,34.639999,33.099998,33.240002,32.131031,3918800
2018-06-13,33.160000,33.810001,32.880001,33.580002,32.459682,1887500
2018-06-14,33.950001,34.150002,33.279999,33.509998,32.392017,1942600
2018-06-15,33.130001,33.320000,32.689999,32.770000,31.676706,4007800
2018-06-18,32.869999,34.290001,32.860001,33.830002,32.701340,2180200
2018-06-19,33.139999,34.340000,33.009998,34.099998,32.962330,1801400
2018-06-20,34.590000,35.430000,34.430000,35.070000,33.899971,2743500
2018-06-21,34.860001,34.910000,34.029999,34.160000,33.020332,2172400
2018-06-22,35.439999,35.980000,34.070000,34.200001,33.058994,4661400
2018-06-25,34.200001,34.369999,32.500000,32.650002,31.560713,2575100
2018-06-26,32.799999,33.299999,32.410000,33.150002,32.044025,2741000
2018-06-27,33.820000,34.360001,33.639999,33.840000,32.711010,3551500
2018-06-28,33.939999,34.070000,33.209999,33.700001,32.575676,2536500
2018-06-29,33.889999,34.660000,33.759998,33.770000,32.643341,2111900
2018-07-02,33.360001,33.430000,32.790001,33.040001,31.937700,1560700
2018-07-03,33.590000,34.119999,33.230000,33.540001,32.421017,982500
2018-07-05,33.820000,33.869999,32.860001,33.139999,32.034363,1736800
2018-07-06,32.779999,33.180000,32.720001,33.080002,31.976362,2714500
2018-07-09,33.400002,33.980000,33.230000,33.970001,32.836670,2518400
2018-07-10,34.259998,34.869999,33.950001,34.209999,33.068665,2017500
2018-07-11,33.820000,34.259998,33.040001,33.200001,32.092358,1427300
2018-07-12,33.209999,33.450001,32.540001,32.959999,31.860367,1385100
2018-07-13,33.000000,33.389999,32.910000,33.000000,31.899033,1107800
2018-07-16,32.500000,32.790001,31.440001,31.709999,30.652069,1869200
2018-07-17,31.469999,32.099998,31.389999,31.809999,30.748734,1308400
2018-07-18,31.549999,32.480000,31.280001,32.290001,31.212723,2105200
2018-07-19,32.250000,32.619999,32.040001,32.090000,31.019394,1711500
2018-07-20,32.130001,32.130001,31.059999,31.650000,30.594070,1709500
2018-07-23,31.860001,31.980000,31.520000,31.620001,30.565075,980800
2018-07-24,31.879999,32.619999,31.709999,32.290001,31.212723,1553300
2018-07-25,32.029999,32.880001,31.959999,32.810001,31.715372,1202100
2018-07-26,32.779999,33.090000,32.630001,32.959999,31.860367,1024700
2018-07-27,32.860001,33.060001,32.169998,32.270000,31.193386,788500
2018-07-30,32.720001,33.070000,32.650002,32.900002,31.802372,963900
2018-07-31,32.880001,33.450001,32.459999,33.259998,32.150356,1116500
2018-08-01,32.820000,33.080002,32.389999,32.669998,31.580040,1405600
2018-08-02,32.360001,32.990002,32.360001,32.830002,31.734705,745500
2018-08-03,32.720001,33.150002,32.560001,33.070000,31.966698,1413600
2018-08-06,33.200001,33.380001,32.880001,33.070000,31.966698,1371200
2018-08-07,33.570000,33.900002,33.160000,33.380001,32.266354,900400
2018-08-08,33.119999,33.480000,31.940001,32.509998,31.425379,2013800
2018-08-09,33.119999,33.480000,29.340000,30.160000,29.153780,4902000
2018-08-10,29.900000,31.120001,29.850000,31.059999,30.274706,2047600
2018-08-13,30.950001,31.389999,30.629999,30.670000,29.894567,2496700
2018-08-14,31.139999,31.450001,30.440001,30.500000,29.728863,1747900
2018-08-15,30.209999,30.209999,29.139999,29.889999,29.134287,1731100
2018-08-16,30.070000,30.180000,29.580000,29.910000,29.153780,1024100
2018-08-17,29.870001,30.059999,29.330000,29.459999,28.715158,1179600
2018-08-20,29.400000,29.959999,29.250000,29.850000,29.095299,1337000
2018-08-21,30.200001,30.719999,30.170000,30.309999,29.543669,1069000
2018-08-22,30.719999,31.090000,30.480000,30.879999,30.099257,1134300
