Date,Open,High,Low,Close,Adj Close,Volume
2018-05-24,3.830000,3.980000,3.830000,3.950000,3.950000,55000
2018-05-25,3.970000,3.990000,3.815000,3.830000,3.830000,106600
2018-05-29,3.900000,3.930000,3.770000,3.790000,3.790000,154500
2018-05-30,3.800000,3.900000,3.790000,3.810000,3.810000,143100
2018-05-31,3.900000,3.900000,3.640000,3.660000,3.660000,304800
2018-06-01,3.710000,3.860000,3.680000,3.710000,3.710000,167200
2018-06-04,3.720000,3.809000,3.630000,3.730000,3.730000,210800
2018-06-05,3.720000,3.810000,3.680000,3.710000,3.710000,179100
2018-06-06,3.710000,3.860000,3.700000,3.740000,3.740000,200700
2018-06-07,3.750000,3.770000,3.620000,3.660000,3.660000,208400
2018-06-08,3.660000,3.740000,3.640000,3.660000,3.660000,132400
2018-06-11,3.640000,3.690000,3.430000,3.520000,3.520000,263100
2018-06-12,3.540000,3.610000,3.430000,3.490000,3.490000,215100
2018-06-13,3.500000,3.519000,3.340000,3.360000,3.360000,335500
2018-06-14,3.350000,3.350000,3.180000,3.250000,3.250000,294200
2018-06-15,3.230000,3.260000,3.070000,3.110000,3.110000,667700
2018-06-18,3.110000,3.195000,3.020000,3.050000,3.050000,475900
2018-06-19,3.050000,3.110000,2.790000,2.800000,2.800000,982900
2018-06-20,2.890000,2.980000,2.660000,2.730000,2.730000,694000
2018-06-21,2.730000,2.870000,2.700000,2.830000,2.830000,508600
2018-06-22,2.860000,2.950000,2.810000,2.930000,2.930000,508400
2018-06-25,2.930000,3.000000,2.860000,2.980000,2.980000,240000
2018-06-26,3.000000,3.080000,2.890000,3.070000,3.070000,145700
2018-06-27,3.080000,3.110000,2.900000,3.000000,3.000000,239400
2018-06-28,2.980000,3.040000,2.900000,2.980000,2.980000,144600
2018-06-29,2.970000,3.070000,2.910000,3.060000,3.060000,186200
2018-07-02,3.030000,3.050000,2.830000,2.870000,2.870000,260400
2018-07-03,2.890000,2.960000,2.751000,2.940000,2.940000,175300
2018-07-05,3.000000,3.000000,2.870000,2.910000,2.910000,114600
2018-07-06,2.920000,3.010000,2.910000,2.980000,2.980000,101400
2018-07-09,2.960000,2.980000,2.890000,2.940000,2.940000,160600
2018-07-10,2.950000,2.960000,2.890000,2.920000,2.920000,108800
2018-07-11,2.900000,2.930000,2.850000,2.880000,2.880000,85200
2018-07-12,2.900000,3.100000,2.850000,3.090000,3.090000,195800
2018-07-13,3.100000,3.250000,3.090000,3.110000,3.110000,210700
2018-07-16,3.150000,3.230000,3.085000,3.120000,3.120000,123800
2018-07-17,3.120000,3.180000,3.022000,3.090000,3.090000,94000
2018-07-18,3.070000,3.110000,3.020000,3.020000,3.020000,68200
2018-07-19,3.020000,3.490000,3.001000,3.420000,3.420000,277500
2018-07-20,3.420000,3.500000,3.220000,3.290000,3.290000,337900
