Date,Open,High,Low,Close,Adj Close,Volume
2018-05-24,6.030000,6.050000,5.970000,6.010000,5.706414,4507900
2018-05-25,5.780000,5.840000,5.740000,5.840000,5.545002,8532400
2018-05-29,5.350000,5.430000,5.250000,5.310000,5.041773,28305000
2018-05-30,5.440000,5.510000,5.400000,5.470000,5.193691,12193100
2018-05-31,5.420000,5.470000,5.310000,5.460000,5.184197,16064100
2018-06-01,5.570000,5.620000,5.510000,5.570000,5.288640,15080000
2018-06-04,5.620000,5.640000,5.580000,5.600000,5.317125,7675000
2018-06-05,5.580000,5.580000,5.480000,5.510000,5.231671,6843400
2018-06-06,5.560000,5.670000,5.540000,5.670000,5.383589,7823600
2018-06-07,5.660000,5.680000,5.560000,5.590000,5.307631,8100000
2018-06-08,5.550000,5.560000,5.500000,5.550000,5.269650,7065200
2018-06-11,5.620000,5.740000,5.610000,5.730000,5.440558,12361800
2018-06-12,5.720000,5.730000,5.630000,5.640000,5.355104,6325700
2018-06-13,5.640000,5.670000,5.590000,5.630000,5.345609,8092700
2018-06-14,5.580000,5.610000,5.550000,5.560000,5.279145,6791900
2018-06-15,5.400000,5.490000,5.390000,5.450000,5.174702,10949800
2018-06-18,5.400000,5.440000,5.380000,5.430000,5.155712,6893100
2018-06-19,5.390000,5.440000,5.350000,5.430000,5.155712,6209900
2018-06-20,5.540000,5.560000,5.480000,5.490000,5.212681,6249100
2018-06-21,5.470000,5.500000,5.400000,5.460000,5.184197,8588100
2018-06-22,5.540000,5.550000,5.480000,5.490000,5.212681,7691600
2018-06-25,5.430000,5.450000,5.370000,5.420000,5.146217,6388100
2018-06-26,5.420000,5.430000,5.370000,5.410000,5.136722,5437300
2018-06-27,5.330000,5.390000,5.260000,5.270000,5.003794,9503400
2018-06-28,5.310000,5.340000,5.280000,5.320000,5.051268,6848700
2018-06-29,5.380000,5.410000,5.330000,5.340000,5.070258,8515100
2018-07-02,5.300000,5.340000,5.270000,5.320000,5.051268,6382800
2018-07-03,5.370000,5.400000,5.360000,5.360000,5.089248,4646200
2018-07-05,5.550000,5.580000,5.530000,5.550000,5.269650,10509000
2018-07-06,5.540000,5.610000,5.530000,5.590000,5.307631,3867200
2018-07-09,5.640000,5.660000,5.630000,5.650000,5.364599,7427200
2018-07-10,5.580000,5.620000,5.550000,5.600000,5.317125,4791400
2018-07-11,5.490000,5.510000,5.410000,5.440000,5.165207,8364600
2018-07-12,5.440000,5.490000,5.430000,5.470000,5.193691,5601400
2018-07-13,5.410000,5.420000,5.370000,5.420000,5.146217,5907200
2018-07-16,5.430000,5.490000,5.430000,5.470000,5.193691,7299600
2018-07-17,5.410000,5.420000,5.310000,5.330000,5.060763,51044100
2018-07-18,5.330000,5.410000,5.330000,5.390000,5.117732,13921300
2018-07-19,5.350000,5.440000,5.330000,5.410000,5.136722,18997900
2018-07-20,5.400000,5.450000,5.370000,5.430000,5.155712,10217400
2018-07-23,5.430000,5.490000,5.420000,5.470000,5.193691,8120100
